Título,Empresa,Modalidad,Salario,Link,Descripción
Developer,RAUM,Remoto Global,USD 500 - 1800,https://talently.tech/oferta/developer-1748474368-68379a00be07c,"Increíble puesto disponible para Fullstack Developer. Se requiere conocimientos en Node.js, React JS, google maps api."
QA AUTOMATIZADOR,Banco Ripley Perú,Hibrido,USD 1300 - 1500,https://talently.tech/oferta/qa-automatizador-1747938306-682f6c026715b,"Tu próximo desafío como QA Automation te espera. Se requiere conocimientos en Selenium, Appium, Cypress."
Desarrollador Full Stack,Banco Ripley Perú,Presencial,USD 1600 - 2100,https://talently.tech/oferta/desarrollador-full-stack-1747938022-682f6ae673266,"¡Gran oportunidad como Fullstack Developer! Se requiere conocimientos en REST API, Git, HTML5, CSS3, JsonQL, sass."
Backend Java,BCP,Presencial,sin salario,https://talently.tech/oferta/backend-java-1747866230-682e527642c11,"Estamos buscando un Back-End Developer. Se requiere conocimientos en Java, Spring Boot."
Analista de datos,Empresa,Remoto local,USD 300 - 800,https://talently.tech/oferta/analista-de-datos-1747755223-682ca0d7de85a,"Si eres Data Analyst / BI, esta oferta es para ti. Se requiere conocimientos en SQL, Análisis de Tendencias."
Sr Mobile Developer,Aplazo,Hibrido,sin salario,https://talently.tech/oferta/sr-mobile-developer-1747689863-682ba187dfa48,"¡Gran oportunidad como Mobile Developer! Se requiere conocimientos en Flutter, Dart."
Technical Lead Manager,Aplazo,Remoto local,sin salario,https://talently.tech/oferta/technical-lead-manager-1747491388-68289a3cbbb66,"Increíble puesto disponible para Account Executive. Se requiere conocimientos en Java, Angular 2+."
Senior Fullstack developer,Aplazo,Remoto local,sin salario,https://talently.tech/oferta/senior-fullstack-developer-1747490481-682896b13412d,"Tu próximo desafío como Fullstack Developer te espera. Se requiere conocimientos en Java, Angular 2+."
Senior Backend Engineer,Aplazo,Remoto local,sin salario,https://talently.tech/oferta/senior-backend-engineer-1747489758-682893de5d135,"Si eres Back-End Developer, esta oferta es para ti. Se requiere conocimientos en Java, API REST."
Key Account Manager (KAM),Datawifi,Hibrido,USD 1000 - 1300,https://talently.tech/oferta/key-account-manager-kam-1746800190-681e0e3e91106,"Si eres Key Account Manager (KAM), esta oferta es para ti. Se requiere conocimientos en Cierre de Ventas, Gestión de relaciones con clientes."
Analista de Datos,Kiosko,Hibrido,USD 2500 - 3500,https://talently.tech/oferta/analista-de-datos-1746651758-681bca6ed8c53,"Si eres Data Analyst / BI, esta oferta es para ti. Se requiere conocimientos en Python, Power BI."
Ingeniero de Datos,Kiosko,Hibrido,USD 3000 - 3500,https://talently.tech/oferta/ingeniero-de-datos-1750268191-6852f91fbc1c7,"Tu próximo desafío como Data Scientist te espera. Se requiere conocimientos en Python, Azure."
Trainee de Growth y Ventas,Cooljaus,Hibrido,USD 300 - 800,https://talently.tech/oferta/trainee-de-growth-y-ventas-1745961311-6811415fca085,"Increíble puesto disponible para No Desarrollo Software. Se requiere conocimientos en Español, Notion."
Arquitecto de datos,Empresa,Remoto local,USD 600 - 1000,https://talently.tech/oferta/arquitecto-de-datos-1745424104-68090ee803382,"Tu próximo desafío como Data Engineer te espera. Se requiere conocimientos en Mongo DB, PostgreSQL, Nosql, SQL."
Business Development Manager,Escal8,Hibrido,USD 1000 - 2000,https://talently.tech/oferta/business-development-manager-1744743404-67feabeccdefc,¡Gran oportunidad como Business Development Representative (BDR)! Se requiere conocimientos en Hubspot.
Frontend Developer,EnviaYa,Remoto Global,USD 1000 - 1600,https://talently.tech/oferta/frontend-developer-1744215153-67f69c71995cb,Estamos buscando un Front-End Developer. Se requiere conocimientos en React JS.
Full stack,16654876-4,Remoto Global,USD 3271 - 5756,https://talently.tech/oferta/full-stack-1742257835-67d8beab4d05f,"Increíble puesto disponible para Fullstack Developer. Se requiere conocimientos en Java, Jenkins."
Backend Developer,HOLDINGS BPO,Remoto Global,USD 1000 - 1600,https://talently.tech/oferta/backend-developer-1741741240-67d0dcb88c83c,"¡Gran oportunidad como Back-End Developer! Se requiere conocimientos en JavaScript, Node.js."
Senior Python Developer,Apli MX,Remoto Global,USD 4000 - 5000,https://talently.tech/oferta/senior-python-developer-1740408872-67bc8828794cf,"Increíble puesto disponible para Back-End Developer. Se requiere conocimientos en Python, AWS Lambda, PostgreSQL, SQL, Mongo DB, AWS."
Fullstack Developer / Tech Lead,Kuali,Hibrido,USD 1500 - 2000,https://talently.tech/oferta/fullstack-developer-tech-lead-1739332509-67ac1b9d181e1,"¡Gran oportunidad como Fullstack Developer! Se requiere conocimientos en Laravel, Vue JS, PostgreSQL, Github, Kubernetes, API REST, TypeScript."
Desarrollador Full Stack,Win Empresas,Presencial,USD 1300 - 1500,https://talently.tech/oferta/desarrollador-full-stack-1742506677-67dc8ab570cce,"¡Gran oportunidad como Fullstack Developer! Se requiere conocimientos en Python, Angular JS."
"Programador FullStack mid -Laravel, React (Remoto - México)",MIENVIO DE MEXICO SAPI DE CV,Remoto local,USD 1000 - 2000,https://talently.tech/oferta/programador-fullstack-mid-laravel-react-remoto-mexico-1732745216-674798003a5de,"Tu próximo desafío como Fullstack Developer te espera. Se requiere conocimientos en React JS, Laravel, PostgreSQL, Java, HTML, Vue JS, API REST, CSS."
Fullstack,Publiqly,Remoto local,USD 800 - 1000,https://talently.tech/oferta/fullstack-1732639087-6745f96f41299,"Si eres Fullstack Developer, esta oferta es para ti. Se requiere conocimientos en PHP, JavaScript, AWS S3, PostgreSQL, D3.js, AWS EC2, AWS CodePipeline."
Asistente programador de sitios web,Americantialpia,Remoto local,USD 800 - 801,https://talently.tech/oferta/asistente-programador-de-sitios-web-1732549020-6744999c4a8ab,"Estamos buscando un Back-End Developer. Se requiere conocimientos en Wordpress, Inglés, Photoshop."
Chapter Lead Backend,HireIn cloud,Hibrido,USD 1000 - 2300,https://talently.tech/oferta/chapter-lead-backend-1732230837-673fbeb5dbf32,"Increíble puesto disponible para Tech Lead. Se requiere conocimientos en Spring WebFlux, Java, RxJava."
Backend Developer,HireIn cloud,Hibrido,USD 800 - 2300,https://talently.tech/oferta/backend-developer-1731958183-673b95a7af319,"Si eres Back-End Developer, esta oferta es para ti. Se requiere conocimientos en Java, RxJava, Spring WebFlux."
Programador,Impulsa 18 Multiservicios,Remoto Global,USD 800 - 1700,https://talently.tech/oferta/programador-1730553591-672626f7dad9e,"Tu próximo desafío como Arquitecto de Software te espera. Se requiere conocimientos en Azure DevOps, SQL, powerBi."
Creador de retos - Mobile,NUWE,Remoto Global,USD 800 - 1500,https://talently.tech/oferta/creador-de-retos-mobile-1730368343-67235357ebae5,"Increíble puesto disponible para Mobile Developer. Se requiere conocimientos en React Native, JavaScript, Redux."
Creador de retos - Data Science,NUWE,Remoto Global,USD 800 - 1499,https://talently.tech/oferta/creador-de-retos-data-science-1730368710-672354c69d694,"¡Gran oportunidad como Data Scientist! Se requiere conocimientos en Python, tensorflow, SQL."
Jefe de Gobierno de Datos,Apuesta Total,Hibrido,USD 1260 - 3000,https://talently.tech/oferta/jefe-de-gobierno-de-datos-1729703302-67192d8604c03,"Increíble puesto disponible para Data Engineer. Se requiere conocimientos en Azure DevOps, DataBricks, IBM, MySQL, Power BI, Reporting Services."
Frontend Developer,Global66,Presencial,USD 1500 - 3500,https://talently.tech/oferta/frontend-developer-1728404654-67055caeb2c20,"Estamos buscando un Front-End Developer. Se requiere conocimientos en Vue JS, JavaScript."
(Freelance) Scrapping,13123123,Remoto Global,USD 800 - 1300,https://talently.tech/oferta/freelance-scrapping-1727975310-66fecf8e5b32a,"Estamos buscando un Back-End Developer. Se requiere conocimientos en Puppeteer, Python."
Analista de calidad de Software,Apuesta Total,Hibrido,USD 1000 - 1580,https://talently.tech/oferta/analista-de-calidad-de-software-1725981909-66e064d51c1b7,"¡Gran oportunidad como QA Analyst! Se requiere conocimientos en Cypress, Jmeter, Junit, Selenium, SoapUI, Postman."
Mobile Developer,Kigo Parkimovil,Remoto local,USD 1500 - 1700,https://talently.tech/oferta/mobile-developer-1716843012-6654f20400eea,"Estamos buscando un Mobile Developer. Se requiere conocimientos en Flutter, Github Actions."
